index,wave,mag,width
0,3300.0,5.381,16.0
1,3316.0,5.376,16.0
2,3332.0,5.377,16.0
3,3348.0,5.367,16.0
4,3364.0,5.361,16.0
5,3380.0,5.364,16.0
6,3396.0,5.371,16.0
7,3412.0,5.378,16.0
8,3428.0,5.394,16.0
9,3444.0,5.402,16.0
10,3460.0,5.407,16.0
11,3476.0,5.411,16.0
12,3492.0,5.412,16.0
13,3508.0,5.4,16.0
14,3524.0,5.395,16.0
15,3540.0,5.39,16.0
16,3556.0,5.388,16.0
17,3572.0,5.384,16.0
18,3588.0,5.381,16.0
19,3604.0,5.378,16.0
20,3620.0,5.377,16.0
21,3636.0,5.376,16.0
22,3652.0,5.376,16.0
23,3668.0,5.378,16.0
24,3684.0,5.383,16.0
25,3700.0,5.376,16.0
26,3716.0,5.34,16.0
27,3732.0,5.276,16.0
28,3748.0,5.203,16.0
29,3764.0,5.132,16.0
30,3780.0,5.035,16.0
31,3796.0,5.044,16.0
32,3812.0,4.901,16.0
33,3828.0,4.993,16.0
34,3844.0,4.904,16.0
35,3860.0,4.77,16.0
36,3876.0,4.896,16.0
37,3892.0,4.981,16.0
38,3908.0,4.775,16.0
39,3924.0,4.73,16.0
40,3940.0,4.747,16.0
41,3956.0,4.89,16.0
42,3972.0,5.017,16.0
43,3988.0,4.806,16.0
44,4004.0,4.756,16.0
45,4020.0,4.745,16.0
46,4036.0,4.734,16.0
47,4052.0,4.731,16.0
48,4068.0,4.75,16.0
49,4084.0,4.861,16.0
50,4100.0,5.057,16.0
51,4116.0,4.884,16.0
52,4132.0,4.79,16.0
53,4148.0,4.77,16.0
54,4164.0,4.768,16.0
55,4180.0,4.773,16.0
56,4196.0,4.773,16.0
57,4212.0,4.775,16.0
58,4228.0,4.782,16.0
59,4244.0,4.79,16.0
60,4260.0,4.8,16.0
61,4276.0,4.806,16.0
62,4292.0,4.816,16.0
63,4308.0,4.84,16.0
64,4324.0,4.954,16.0
65,4340.0,5.14,16.0
66,4356.0,4.949,16.0
67,4372.0,4.862,16.0
68,4388.0,4.858,16.0
69,4404.0,4.851,16.0
