wave,inten,std
1867.600,17.656,3.100
1872.853,4.789,2.905
1878.105,13.174,2.990
1883.354,-2.462,2.836
1888.602,19.630,2.901
1893.847,8.846,3.074
1899.091,2.637,3.044
1904.334,14.470,3.135
1909.574,-4.287,2.975
1914.813,2.317,3.023
1920.050,-2.557,2.825
1925.285,-1.453,2.784
1930.518,3.330,2.913
1935.750,2.586,2.965
1940.980,3.648,2.840
1946.208,6.878,2.939
1951.434,8.235,2.905
1956.659,5.034,3.018
1961.882,-2.173,2.917
1967.103,2.846,2.993
1972.322,-1.438,2.973
1977.539,-6.442,2.842
1982.755,8.560,2.996
1987.969,-9.584,2.875
1993.181,-10.623,2.839
1998.392,3.232,2.934
2003.601,-0.326,2.954
2008.808,1.434,3.017
2014.013,-13.151,2.803
2019.216,-13.442,2.830
2024.418,5.638,2.856
2029.618,9.898,2.872
2034.816,-8.348,2.844
2040.013,-0.903,2.965
2045.208,-10.645,2.840
2050.401,-0.328,2.922
2055.592,18.875,2.971
2060.782,6.245,2.886
2065.970,-2.285,2.874
2071.156,-6.122,2.941
2076.340,2.696,2.998
2081.523,-1.066,2.896
2086.704,-0.735,2.954
2091.883,-5.893,2.893
2097.061,-1.971,2.908
2102.237,0.502,2.978
2107.411,0.787,2.927
2112.583,6.044,2.907
2117.754,8.227,3.005
2122.923,11.068,2.942
2128.090,-0.429,2.898
2133.256,3.277,2.895
2138.420,-2.013,2.903
2143.582,-2.373,2.968
2148.743,1.790,2.983
2153.902,13.193,3.008
2159.059,2.813,2.953
2164.214,1.336,3.006
2169.368,-5.703,2.910
2174.520,1.965,2.998
2179.670,-1.533,2.879
2184.819,3.612,2.980
2189.966,-6.219,2.929
2195.111,3.822,2.893
2200.255,18.140,3.043
2205.397,3.842,2.946
2210.537,2.913,2.891
2215.676,3.797,3.043
2220.813,4.751,2.961
2225.948,4.485,2.922
2231.081,1.566,2.912
2236.213,1.405,3.077
2241.344,12.034,3.056
2246.472,-1.234,2.865
2251.599,10.471,2.981
2256.724,-7.066,2.919
2261.848,8.037,3.010
2266.970,-9.162,2.814
2272.090,1.922,2.993
2277.209,6.758,2.959
2282.326,5.705,3.038
2287.441,-2.444,2.937
2292.555,4.190,2.939
2297.667,-2.732,2.966
2302.777,2.205,2.919
2307.886,-0.432,2.973
2312.993,8.437,2.953
2318.099,2.923,2.949
2323.202,9.210,3.093
2328.305,-2.548,2.924
2333.405,-4.438,3.008
2338.504,3.451,2.976
2343.601,0.757,2.913
2348.697,-2.054,2.924
2353.791,7.119,2.959
2358.884,-0.039,2.931
2363.974,-4.409,3.020
2369.064,-5.227,2.823
2374.151,-6.858,2.959
2379.237,-6.825,2.988
2384.321,3.965,2.978
2389.404,5.589,3.089
2394.485,4.538,3.041
2399.565,8.386,2.946
2404.643,3.618,3.023
2409.719,11.157,3.036
2414.794,3.918,2.983
2419.867,2.895,3.129
2424.938,9.050,3.003
2430.008,7.033,3.010
2435.076,14.301,3.096
2440.143,3.770,3.028
2445.208,5.701,2.988
2450.271,19.115,3.046
2455.333,4.115,3.066
2460.394,4.432,2.971
2465.452,5.455,2.991
2470.510,2.877,2.976
2475.565,1.217,3.001
2480.619,-6.095,2.912
2485.671,14.449,3.051
2490.722,4.063,2.948
2495.772,6.707,3.140
2500.819,3.968,3.000
2505.865,1.665,2.983
2510.910,9.208,3.015
2515.953,5.711,2.991
2520.994,5.767,3.035
2526.034,3.332,3.075
2531.072,11.234,3.135
2536.109,5.923,2.975
2541.144,13.774,3.134
2546.178,4.499,2.970
2551.210,-1.724,2.980
2556.240,-4.973,3.035
2561.269,1.161,3.028
2566.297,16.450,3.146
2571.322,8.839,3.154
2576.347,0.115,3.061
2581.369,13.580,3.054
2586.391,-4.132,2.993
2591.410,0.705,3.073
2596.428,12.537,3.133
2601.445,10.738,3.036
2606.460,-0.710,3.028
2611.473,1.845,3.025
2616.485,6.470,3.057
2621.496,2.206,3.079
2626.505,-2.836,3.021
2631.512,9.906,3.116
2636.518,7.879,2.975
2641.522,8.746,3.121
2646.525,15.601,3.226
2651.526,0.043,3.010
2656.526,15.449,3.188
2661.524,14.864,3.138
2666.521,1.964,3.025
2671.516,5.673,3.039
2676.510,8.085,3.164
2681.502,3.310,2.991
2686.493,7.954,2.976
2691.482,5.947,3.090
2696.470,1.907,3.018
2701.456,0.530,3.098
2706.441,2.428,3.077
2711.424,0.097,3.008
2716.405,0.786,3.039
2721.386,3.258,3.061
2726.364,2.481,3.041
2731.342,16.273,3.067
2736.317,7.157,3.067
