wave,inten,std
1867.600,-5.783,0.573
1872.853,-1.362,0.535
1878.105,2.876,0.522
1883.354,12.621,0.665
1888.602,10.485,0.563
1893.847,-5.404,0.564
1899.091,1.686,0.592
1904.334,-8.430,0.498
1909.574,1.910,0.526
1914.813,-1.315,0.581
1920.050,-1.898,0.539
1925.285,2.796,0.565
1930.518,-3.657,0.544
1935.750,0.249,0.557
1940.980,-1.318,0.557
1946.208,2.547,0.557
1951.434,-6.244,0.516
1956.659,-2.282,0.535
1961.882,-0.079,0.592
1967.103,-6.569,0.560
1972.322,1.197,0.567
1977.539,1.058,0.556
1982.755,2.512,0.527
1987.969,0.294,0.567
1993.181,-0.664,0.516
1998.392,-8.894,0.528
2003.601,2.232,0.535
2008.808,1.463,0.570
2014.013,1.148,0.538
2019.216,7.978,0.584
2024.418,-0.377,0.538
2029.618,0.461,0.559
2034.816,4.003,0.548
2040.013,-3.201,0.536
2045.208,2.451,0.561
2050.401,-0.093,0.557
2055.592,1.205,0.560
2060.782,2.172,0.557
2065.970,3.960,0.582
2071.156,-2.632,0.532
2076.340,1.607,0.552
2081.523,2.900,0.567
2086.704,-3.168,0.521
2091.883,1.337,0.543
2097.061,0.991,0.559
2102.237,-2.659,0.562
2107.411,0.784,0.559
2112.583,-2.684,0.537
2117.754,-2.566,0.531
2122.923,-0.504,0.547
2128.090,-3.839,0.542
2133.256,-3.319,0.499
2138.420,-0.299,0.557
2143.582,-2.182,0.536
2148.743,0.067,0.528
2153.902,-2.102,0.553
2159.059,3.971,0.571
2164.214,-1.237,0.522
2169.368,3.233,0.569
2174.520,0.987,0.564
2179.670,1.559,0.556
2184.819,1.607,0.568
2189.966,2.397,0.558
2195.111,0.422,0.545
2200.255,-2.573,0.527
2205.397,-2.508,0.531
2210.537,3.153,0.557
2215.676,2.282,0.566
2220.813,2.169,0.561
2225.948,1.294,0.577
2231.081,0.049,0.551
2236.213,-0.709,0.524
2241.344,0.176,0.548
2246.472,0.836,0.531
2251.599,-1.834,0.520
2256.724,-0.082,0.555
2261.848,-1.975,0.526
2266.970,-0.685,0.555
2272.090,2.640,0.562
2277.209,-1.626,0.548
2282.326,-0.664,0.560
2287.441,2.534,0.583
2292.555,2.511,0.570
2297.667,-1.794,0.545
2302.777,0.364,0.576
2307.886,1.558,0.573
2312.993,3.616,0.575
2318.099,0.906,0.569
2323.202,-0.602,0.544
2328.305,-1.442,0.566
2333.405,0.962,0.553
2338.504,0.438,0.553
2343.601,-1.021,0.558
2348.697,-3.288,0.553
2353.791,0.459,0.564
2358.884,-2.252,0.553
2363.974,2.319,0.595
2369.064,1.818,0.562
2374.151,3.376,0.560
2379.237,3.196,0.601
2384.321,1.460,0.565
2389.404,-1.688,0.540
2394.485,0.599,0.569
2399.565,2.153,0.536
2404.643,3.586,0.581
2409.719,-1.280,0.541
2414.794,1.838,0.585
2419.867,-1.245,0.588
2424.938,2.748,0.566
2430.008,-1.699,0.536
2435.076,0.926,0.542
2440.143,-3.355,0.536
2445.208,3.231,0.569
2450.271,1.742,0.563
2455.333,1.569,0.556
2460.394,1.547,0.568
2465.452,-0.203,0.537
2470.510,-5.841,0.519
2475.565,1.937,0.539
2480.619,-1.761,0.539
2485.671,3.803,0.570
2490.722,-3.232,0.528
2495.772,4.878,0.557
2500.819,-1.952,0.548
2505.865,3.531,0.550
2510.910,-4.524,0.508
2515.953,2.011,0.565
2520.994,-0.861,0.581
2526.034,0.944,0.555
2531.072,0.534,0.565
2536.109,0.481,0.570
2541.144,0.588,0.553
2546.178,1.122,0.581
2551.210,-1.281,0.577
2556.240,1.443,0.562
2561.269,-2.929,0.549
2566.297,0.305,0.551
2571.322,-1.728,0.546
2576.347,2.497,0.556
2581.369,-1.394,0.526
2586.391,1.752,0.540
2591.410,0.217,0.564
2596.428,-1.019,0.529
2601.445,-2.271,0.543
2606.460,1.492,0.553
2611.473,-1.262,0.553
2616.485,-0.327,0.535
2621.496,-1.542,0.567
2626.505,0.726,0.551
2631.512,0.075,0.569
2636.518,-2.991,0.546
2641.522,-0.014,0.548
2646.525,-0.914,0.559
2651.526,0.993,0.562
2656.526,2.686,0.568
2661.524,-2.454,0.524
2666.521,0.494,0.571
2671.516,-1.766,0.551
2676.510,-1.322,0.547
2681.502,-0.727,0.551
2686.493,0.904,0.546
2691.482,-2.227,0.549
2696.470,2.102,0.556
2701.456,-2.308,0.561
2706.441,1.345,0.560
2711.424,-0.936,0.542
2716.405,1.240,0.566
2721.386,-0.098,0.552
2726.364,0.447,0.553
2731.342,2.344,0.563
2736.317,-1.457,0.550
2741.292,-2.145,0.557
2746.264,-0.410,0.556
2751.236,-1.764,0.559
2756.205,0.938,0.565
