wave,flux,error
1867.600,-0.000e+00,0.000e+00
1872.853,-0.000e+00,0.000e+00
1878.105,0.000e+00,0.000e+00
1883.354,0.000e+00,0.000e+00
1888.602,0.000e+00,0.000e+00
1893.847,-0.000e+00,0.000e+00
1899.091,0.000e+00,0.000e+00
1904.334,-0.000e+00,0.000e+00
1909.574,0.000e+00,0.000e+00
1914.813,-0.000e+00,0.000e+00
1920.050,-0.000e+00,0.000e+00
1925.285,0.000e+00,0.000e+00
1930.518,-0.000e+00,0.000e+00
1935.750,0.000e+00,0.000e+00
1940.980,-0.000e+00,0.000e+00
1946.208,0.000e+00,0.000e+00
1951.434,-0.000e+00,0.000e+00
1956.659,-0.000e+00,0.000e+00
1961.882,-0.000e+00,0.000e+00
1967.103,-0.000e+00,0.000e+00
1972.322,0.000e+00,0.000e+00
1977.539,0.000e+00,0.000e+00
1982.755,0.000e+00,0.000e+00
1987.969,0.000e+00,0.000e+00
1993.181,-0.000e+00,0.000e+00
1998.392,-0.000e+00,0.000e+00
2003.601,0.000e+00,0.000e+00
2008.808,0.000e+00,0.000e+00
2014.013,0.000e+00,0.000e+00
2019.216,0.000e+00,0.000e+00
2024.418,-0.000e+00,0.000e+00
2029.618,0.000e+00,0.000e+00
2034.816,0.000e+00,0.000e+00
2040.013,-0.000e+00,0.000e+00
2045.208,0.000e+00,0.000e+00
2050.401,-0.000e+00,0.000e+00
2055.592,0.000e+00,0.000e+00
2060.782,0.000e+00,0.000e+00
2065.970,0.000e+00,0.000e+00
2071.156,-0.000e+00,0.000e+00
2076.340,0.000e+00,0.000e+00
2081.523,0.000e+00,0.000e+00
2086.704,-0.000e+00,0.000e+00
2091.883,0.000e+00,0.000e+00
2097.061,0.000e+00,0.000e+00
2102.237,-0.000e+00,0.000e+00
2107.411,0.000e+00,0.000e+00
2112.583,-0.000e+00,0.000e+00
2117.754,-0.000e+00,0.000e+00
2122.923,-0.000e+00,0.000e+00
2128.090,-0.000e+00,0.000e+00
2133.256,-0.000e+00,0.000e+00
2138.420,-0.000e+00,0.000e+00
2143.582,-0.000e+00,0.000e+00
2148.743,0.000e+00,0.000e+00
2153.902,-0.000e+00,0.000e+00
2159.059,0.000e+00,0.000e+00
2164.214,-0.000e+00,0.000e+00
2169.368,0.000e+00,0.000e+00
2174.520,0.000e+00,0.000e+00
2179.670,0.000e+00,0.000e+00
2184.819,0.000e+00,0.000e+00
2189.966,0.000e+00,0.000e+00
2195.111,0.000e+00,0.000e+00
2200.255,-0.000e+00,0.000e+00
2205.397,-0.000e+00,0.000e+00
2210.537,0.000e+00,0.000e+00
2215.676,0.000e+00,0.000e+00
2220.813,0.000e+00,0.000e+00
2225.948,0.000e+00,0.000e+00
2231.081,0.000e+00,0.000e+00
2236.213,-0.000e+00,0.000e+00
2241.344,0.000e+00,0.000e+00
2246.472,0.000e+00,0.000e+00
2251.599,-0.000e+00,0.000e+00
2256.724,-0.000e+00,0.000e+00
2261.848,-0.000e+00,0.000e+00
2266.970,-0.000e+00,0.000e+00
2272.090,0.000e+00,0.000e+00
2277.209,-0.000e+00,0.000e+00
2282.326,-0.000e+00,0.000e+00
2287.441,0.000e+00,0.000e+00
2292.555,0.000e+00,0.000e+00
2297.667,-0.000e+00,0.000e+00
2302.777,0.000e+00,0.000e+00
2307.886,0.000e+00,0.000e+00
2312.993,0.000e+00,0.000e+00
2318.099,0.000e+00,0.000e+00
2323.202,-0.000e+00,0.000e+00
2328.305,-0.000e+00,0.000e+00
2333.405,0.000e+00,0.000e+00
2338.504,0.000e+00,0.000e+00
2343.601,-0.000e+00,0.000e+00
2348.697,-0.000e+00,0.000e+00
2353.791,0.000e+00,0.000e+00
2358.884,-0.000e+00,0.000e+00
2363.974,0.000e+00,0.000e+00
2369.064,0.000e+00,0.000e+00
2374.151,0.000e+00,0.000e+00
2379.237,0.000e+00,0.000e+00
2384.321,0.000e+00,0.000e+00
2389.404,-0.000e+00,0.000e+00
2394.485,0.000e+00,0.000e+00
2399.565,0.000e+00,0.000e+00
2404.643,0.000e+00,0.000e+00
2409.719,-0.000e+00,0.000e+00
2414.794,0.000e+00,0.000e+00
2419.867,-0.000e+00,0.000e+00
2424.938,0.000e+00,0.000e+00
2430.008,-0.000e+00,0.000e+00
2435.076,0.000e+00,0.000e+00
2440.143,-0.000e+00,0.000e+00
2445.208,0.000e+00,0.000e+00
2450.271,0.000e+00,0.000e+00
2455.333,0.000e+00,0.000e+00
2460.394,0.000e+00,0.000e+00
2465.452,-0.000e+00,0.000e+00
2470.510,-0.000e+00,0.000e+00
2475.565,0.000e+00,0.000e+00
2480.619,-0.000e+00,0.000e+00
2485.671,0.000e+00,0.000e+00
2490.722,-0.000e+00,0.000e+00
2495.772,0.000e+00,0.000e+00
2500.819,-0.000e+00,0.000e+00
2505.865,0.000e+00,0.000e+00
2510.910,-0.000e+00,0.000e+00
2515.953,0.000e+00,0.000e+00
2520.994,-0.000e+00,0.000e+00
2526.034,0.000e+00,0.000e+00
2531.072,0.000e+00,0.000e+00
2536.109,0.000e+00,0.000e+00
2541.144,0.000e+00,0.000e+00
2546.178,0.000e+00,0.000e+00
2551.210,-0.000e+00,0.000e+00
2556.240,0.000e+00,0.000e+00
2561.269,-0.000e+00,0.000e+00
2566.297,0.000e+00,0.000e+00
2571.322,-0.000e+00,0.000e+00
2576.347,0.000e+00,0.000e+00
2581.369,-0.000e+00,0.000e+00
2586.391,0.000e+00,0.000e+00
2591.410,0.000e+00,0.000e+00
2596.428,-0.000e+00,0.000e+00
2601.445,-0.000e+00,0.000e+00
2606.460,0.000e+00,0.000e+00
2611.473,-0.000e+00,0.000e+00
2616.485,-0.000e+00,0.000e+00
2621.496,-0.000e+00,0.000e+00
2626.505,0.000e+00,0.000e+00
2631.512,0.000e+00,0.000e+00
2636.518,-0.000e+00,0.000e+00
2641.522,-0.000e+00,0.000e+00
2646.525,-0.000e+00,0.000e+00
2651.526,0.000e+00,0.000e+00
2656.526,0.000e+00,0.000e+00
2661.524,-0.000e+00,0.000e+00
2666.521,0.000e+00,0.000e+00
2671.516,-0.000e+00,0.000e+00
2676.510,-0.000e+00,0.000e+00
2681.502,-0.000e+00,0.000e+00
2686.493,0.000e+00,0.000e+00
2691.482,-0.000e+00,0.000e+00
2696.470,0.000e+00,0.000e+00
2701.456,-0.000e+00,0.000e+00
2706.441,0.000e+00,0.000e+00
2711.424,-0.000e+00,0.000e+00
2716.405,0.000e+00,0.000e+00
2721.386,-0.000e+00,0.000e+00
2726.364,0.000e+00,0.000e+00
2731.342,0.000e+00,0.000e+00
2736.317,-0.000e+00,0.000e+00
2741.292,-0.000e+00,0.000e+00
2746.264,-0.000e+00,0.000e+00
2751.236,-0.000e+00,0.000e+00
2756.205,0.000e+00,0.000e+00
2761.174,-0.000e+00,0.000e+00
2766.140,0.000e+00,0.000e+00
2771.106,0.000e+00,0.000e+00
2776.070,0.000e+00,0.000e+00
2781.032,-0.000e+00,0.000e+00
2785.993,0.000e+00,0.000e+00
2790.952,0.000e+00,0.000e+00
2795.910,-0.000e+00,0.000e+00
2800.867,-0.000e+00,0.000e+00
2805.822,0.000e+00,0.000e+00
2810.776,0.000e+00,0.000e+00
2815.728,-0.000e+00,0.000e+00
2820.678,-0.000e+00,0.000e+00
2825.628,0.000e+00,0.000e+00
2830.575,0.000e+00,0.000e+00
2835.522,0.000e+00,0.000e+00
2840.466,-0.000e+00,0.000e+00
2845.410,0.000e+00,0.000e+00
2850.352,-0.000e+00,0.000e+00
2855.292,0.000e+00,0.000e+00
2860.231,0.000e+00,0.000e+00
2865.169,-0.000e+00,0.000e+00
2870.105,-0.000e+00,0.000e+00
2875.040,0.000e+00,0.000e+00
2879.973,-0.000e+00,0.000e+00
2884.905,-0.000e+00,0.000e+00
2889.836,0.000e+00,0.000e+00
2894.765,0.000e+00,0.000e+00
2899.692,-0.000e+00,0.000e+00
2904.618,-0.000e+00,0.000e+00
2909.543,-0.000e+00,0.000e+00
2914.466,0.000e+00,0.000e+00
2919.388,0.000e+00,0.000e+00
2924.309,0.000e+00,0.000e+00
2929.228,0.000e+00,0.000e+00
2934.145,0.000e+00,0.000e+00
2939.061,-0.000e+00,0.000e+00
2943.976,0.000e+00,0.000e+00
2948.890,0.000e+00,0.000e+00
2953.801,-0.000e+00,0.000e+00
2958.712,-0.000e+00,0.000e+00
2963.621,0.000e+00,0.000e+00
2968.529,-0.000e+00,0.000e+00
2973.435,-0.000e+00,0.000e+00
2978.340,-0.000e+00,0.000e+00
2983.244,-0.000e+00,0.000e+00
2988.146,-0.000e+00,0.000e+00
2993.047,-0.000e+00,0.000e+00
2997.946,-0.000e+00,0.000e+00
3002.844,-0.000e+00,0.000e+00
3007.740,0.000e+00,0.000e+00
3012.636,-0.000e+00,0.000e+00
3017.529,-0.000e+00,0.000e+00
3022.422,0.000e+00,0.000e+00
3027.313,-0.000e+00,0.000e+00
3032.202,0.000e+00,0.000e+00
3037.091,-0.000e+00,0.000e+00
3041.978,-0.000e+00,0.000e+00
3046.863,-0.000e+00,0.000e+00
3051.747,0.000e+00,0.000e+00
3056.630,0.000e+00,0.000e+00
3061.511,0.000e+00,0.000e+00
3066.391,0.000e+00,0.000e+00
3071.270,-0.000e+00,0.000e+00
3076.147,0.000e+00,0.000e+00
3081.023,0.000e+00,0.000e+00
3085.898,0.000e+00,0.000e+00
3090.771,-0.000e+00,0.000e+00
3095.643,0.000e+00,0.000e+00
3100.513,7.893e-320,1.984e-319
3105.382,-4.668e-305,3.416e-305
3110.250,6.578e-291,2.573e-291
3115.117,2.872e-278,9.578e-278
3119.982,1.712e-263,1.614e-264
3124.845,6.534e-251,1.228e-251
3129.708,2.609e-238,3.960e-239
3134.569,1.866e-226,5.873e-227
3139.429,2.145e-214,4.212e-215
3144.287,-4.058e-204,1.440e-203
3149.144,1.551e-191,2.141e-192
3154.000,2.069e-181,1.390e-181
3158.854,4.031e-171,4.436e-171
3163.707,2.386e-160,6.803e-161
3168.559,8.818e-151,4.409e-151
3173.409,-4.814e-141,1.301e-141
3178.258,2.014e-133,1.993e-132
3183.106,4.719e-123,1.257e-123
3187.952,7.289e-115,3.724e-115
3192.797,-1.053e-106,5.195e-107
3197.641,-7.927e-99,3.434e-99
3202.483,-5.935e-91,9.440e-92
3207.324,1.896e-84,1.419e-84
3212.164,-1.716e-77,9.065e-78
3217.003,-2.055e-70,2.582e-71
3221.840,1.411e-64,3.911e-65
3226.676,-5.671e-59,2.350e-59
3231.510,-2.274e-54,6.984e-54
3236.343,-4.857e-49,9.370e-49
3241.175,3.986e-44,6.040e-44
3246.006,6.205e-39,1.801e-39
3250.835,9.538e-35,2.545e-35
3255.663,-4.946e-31,1.645e-31
3260.490,-1.467e-27,4.808e-28
3265.315,1.131e-24,6.875e-25
3270.140,2.108e-23,4.481e-22
3274.962,-1.277e-19,1.294e-19
3279.784,-4.530e-17,1.769e-17
3284.604,3.078e-15,1.245e-15
3289.423,2.756e-14,3.715e-14
3294.241,-1.042e-13,5.396e-13
3299.057,1.350e-12,3.715e-12
3303.873,2.455e-11,1.181e-11
3308.686,4.112e-11,1.806e-11
3313.499,-1.162e-11,1.212e-11
3318.310,-4.095e-12,4.601e-12
3323.120,-4.423e-12,2.623e-12
3327.929,6.132e-12,2.744e-12
3332.737,-2.447e-11,4.858e-12
3337.543,-5.764e-11,7.298e-12
3342.348,-2.556e-11,8.306e-12
3347.151,-2.633e-11,6.079e-12
3351.954,-1.148e-11,3.566e-12
3356.755,3.791e-12,2.844e-12
3361.555,5.743e-12,3.115e-12
3366.354,-6.031e-12,4.612e-12
3371.151,-1.566e-11,6.695e-12
3375.947,3.320e-12,1.009e-11
3380.742,-6.355e-11,1.433e-11
3385.536,3.475e-11,1.623e-11
3390.328,-1.968e-11,9.671e-12
3395.119,-1.003e-11,3.502e-12
3399.909,3.254e-12,1.238e-12
3404.698,-3.993e-13,8.843e-13
3409.485,-1.333e-12,1.227e-12
3414.271,1.061e-11,3.480e-12
3419.056,-1.278e-12,6.177e-12
3423.840,8.143e-12,6.629e-12
3428.622,9.814e-13,4.428e-12
3433.404,-1.867e-12,2.466e-12
3438.184,5.574e-12,2.002e-12
3442.962,-1.009e-11,1.936e-12
3447.740,1.905e-11,2.441e-12
3452.516,1.453e-12,2.452e-12
3457.291,7.072e-12,2.062e-12
3462.065,8.410e-12,1.546e-12
3466.838,-3.579e-12,1.201e-12
3471.609,-6.505e-12,1.180e-12
3476.380,1.686e-12,1.312e-12
3481.149,-2.645e-12,1.554e-12
3485.916,-1.018e-11,1.459e-12
3490.683,3.189e-12,1.247e-12
3495.448,2.658e-12,1.012e-12
3500.213,-1.119e-12,8.353e-13
3504.976,-8.254e-13,7.403e-13
3509.737,-2.569e-12,7.776e-13
3514.498,1.470e-12,7.675e-13
3519.257,2.084e-12,7.250e-13
3524.015,2.387e-13,6.329e-13
3528.772,1.709e-12,5.749e-13
3533.528,1.923e-12,5.468e-13
3538.283,6.283e-12,5.754e-13
3543.036,3.524e-13,5.526e-13
3547.788,1.527e-12,5.408e-13
3552.539,-7.263e-13,5.136e-13
3557.289,3.635e-14,4.667e-13
3562.038,9.421e-13,4.265e-13
3566.785,2.813e-12,3.932e-13
3571.532,6.686e-13,3.487e-13
3576.277,-4.372e-13,3.183e-13
3581.021,3.029e-12,3.048e-13
3585.763,-6.680e-14,2.734e-13
3590.505,-3.811e-13,2.603e-13
3595.245,-3.864e-13,2.607e-13
3599.985,1.717e-12,2.484e-13
3604.723,-1.262e-13,2.261e-13
3609.460,2.632e-13,2.110e-13
3614.195,3.297e-13,1.966e-13
3618.930,5.759e-13,1.837e-13
3623.663,1.162e-12,1.739e-13
3628.396,1.348e-12,1.589e-13
3633.127,1.323e-13,1.499e-13
3637.857,2.475e-13,1.326e-13
3642.586,1.065e-13,1.302e-13
3647.313,5.576e-13,1.195e-13
3652.040,6.215e-13,1.137e-13
3656.765,1.178e-12,1.061e-13
3661.489,1.239e-12,1.001e-13
3666.212,7.682e-13,9.085e-14
3670.934,6.470e-13,8.380e-14
3675.655,7.312e-13,7.700e-14
3680.375,4.607e-13,7.196e-14
3685.093,5.523e-13,6.670e-14
3689.810,5.387e-13,6.228e-14
3694.527,2.836e-13,5.786e-14
3699.242,5.917e-13,5.595e-14
3703.956,2.671e-13,5.148e-14
3708.669,3.787e-13,4.751e-14
3713.380,6.026e-13,4.605e-14
3718.091,7.232e-13,4.330e-14
3722.800,6.223e-13,4.037e-14
3727.509,5.068e-13,4.070e-14
3732.216,6.844e-13,4.069e-14
3736.922,7.648e-13,4.210e-14
3741.627,6.381e-13,3.932e-14
3746.331,2.618e-13,3.344e-14
3751.034,4.267e-13,2.918e-14
3755.735,4.109e-13,2.780e-14
3760.436,4.480e-13,2.854e-14
3765.135,5.770e-13,3.307e-14
3769.834,8.384e-13,3.649e-14
3774.531,6.519e-13,3.516e-14
3779.227,6.137e-13,3.251e-14
3783.922,5.720e-13,2.841e-14
3788.616,5.316e-13,2.527e-14
3793.309,6.024e-13,2.565e-14
3798.001,8.373e-13,2.783e-14
3802.691,9.882e-13,2.834e-14
3807.381,1.246e-12,3.031e-14
3812.070,1.254e-12,2.998e-14
3816.757,1.210e-12,2.967e-14
3821.443,1.171e-12,2.890e-14
3826.128,1.148e-12,2.784e-14
3830.813,1.142e-12,2.665e-14
3835.496,1.081e-12,2.616e-14
3840.178,9.888e-13,2.484e-14
3844.859,8.262e-13,2.300e-14
3849.538,7.159e-13,2.154e-14
3854.217,6.666e-13,2.143e-14
3858.895,6.120e-13,1.982e-14
3863.572,5.801e-13,1.913e-14
3868.247,5.182e-13,1.827e-14
3872.922,5.456e-13,1.643e-14
